signal,events
exchange-4_cpm_results,"[[1310728501,1310872501],[1312103701,1312254901],[1314008101,1314152101],[1314458101,1314602101]]"
ambient_temperature_system_failure,"[[1387087200,1388390400],[1396101600,1398024000]]"
cpu_utilization_asg_misconfiguration,"[[1404988140,1405437540]]"
ec2_request_latency_system_failure,"[[1394764260,1394804460],[1395158760,1395198960],[1395347160,1395369660]]"
machine_temperature_system_failure,"[[1386653100,1386822900],[1387126200,1387296000],[1390828800,1390998600],[1391781300,1391951100]]"
nyc_taxi,"[[1414679400,1415050200],[1416913200,1417284000],[1419330600,1419701400],[1419885000,1420255800],[1422127800,1422498600]]"
rogue_agent_key_hold,"[[1405391700,1405423500],[1405569000,1405658700]]"
rogue_agent_key_updown,"[[1405350000,1405429200],[1405540200,1405619400]]"
TravelTime_387,"[[1437987360,1438358460],[1439805060,1440028440],[1441028640,1441105560]]"
TravelTime_451,"[[1439135820,1439402460]]"
occupancy_6005,"[[1442245500,1442330640]]"
occupancy_t4013,"[[1442357940,1442402340],[1442442000,1442488200]]"
speed_6005,"[[1442421600,1442499840]]"
speed_7578,"[[1441978440,1441986840],[1442316360,1442325240],[1442401440,1442409600],[1442412000,1442420400]]"
speed_t4013,"[[1442357040,1442402040],[1442442600,1442489400]]"
Twitter_volume_AAPL,"[[1425353873,1425472673],[1425859373,1425978173],[1426411673,1426530473],[1427705873,1427824673]]"
Twitter_volume_AMZN,"[[1425522173,1425640373],[1426044773,1426162973],[1427859173,1427977373],[1428402473,1428520673]]"
Twitter_volume_CRM,"[[1425844973,1426003973],[1426723373,1426882373],[1427313773,1427472773]]"
Twitter_volume_CVS,"[[1425421973,1425641273],[1427315873,1427434673],[1428984473,1429103273]]"
Twitter_volume_FB,"[[1426367573,1426604573],[1427957573,1428194573]]"
Twitter_volume_GOOG,"[[1426215173,1426406273],[1427001773,1427120573],[1427799473,1427918273]]"
Twitter_volume_IBM,"[[1427026973,1427265173],[1429434173,1429672373]]"
Twitter_volume_KO,"[[1426774373,1426932773],[1428450173,1428608573],[1428936773,1429095173]]"
Twitter_volume_PFE,"[[1425268373,1425387173],[1425402173,1425520973],[1426213673,1426332473],[1428383573,1428502373]]"
Twitter_volume_UPS,"[[1425291473,1425386273],[1425416273,1425511073],[1425517973,1425612773],[1427170073,1427264873],[1427591873,1427686673]]"
